Park,Lat,Long,Visited
Acadia National Park,44.338974,-68.27343,Yes
American Samoa National Park,14.2579,-170.686,No
Arches National Park,38.733082,-109.592514,Yes
Badlands National Park,43.6504,-102.4343,No
Big Bend National Park,29.3816,-103.2432,No
Biscayne National Park,25.442,-80.2619,No
Black Canyon of the Gunnison National Park,38.58167,-107.7208,No
Bryce Canyon National Park,37.593048,-112.187332,Yes
Canyonlands National Park,38.0252,-109.966,Yes
Capitol Reef National Park,38.0896,-111.14991,Yes
Carlsbad Caverns National Park,32.1648,-104.4094,No
Channel Islands National Park,33.998028,-119.772949,No
Congaree National Park,33.78333,-80.78333,No
Crater Lake National Park,42.944611,-122.109245,No
Cuyahoga Valley National Park,41.20906,-81.55701,No
Death Valley National Park,36.2037,-116.4117,No
Denali National Park,63.129887,-151.197418,Yes
Dry Tortugas National Park,24.7384,-81.7862,No
Everglades National Park,25.286615,-80.898651,No
Gateway Arch National Park,38.6249,-90.1859,Yes
Gates of the Arctic National Park,67.915199,-153.46373,Yes
Glacier National Park,48.7596,-113.787,No
Glacier Bay National Park,58.665806,-136.900208,No
Grand Canyon National Park,36.266033,-112.363808,Yes
Grand Teton National Park,43.790802,-110.684944,No
Great Basin National Park,38.868,-114.1513,No
Great Sand Dunes National Park,37.75444,-105.55861,No
Great Smoky Mountains National Park,35.611763,-83.489548,Yes
Guadalupe Mountains National Park,31.9235,-104.8529,No
Haleakalā National Park,20.701283,-156.173325,No
Hawaii Volcanoes National Park,19.36769,-155.36731,No
Hot Springs National Park,34.52153,-93.042267,No
Indiana Dunes National Park,41.6533,-87.0524,Yes
Isla Royale National Park,47.9624,-88.8917,No
Joshua Tree National Park,33.881866,-115.90065,No
Katmai National Park,58.597813,-154.693756,No
Kenai Fjords National Park,60.043777,-149.81636,No
Kings Canyon National Park,36.887856,-118.555145,Yes
Kobuk Valley National Park,67.34409,-159.13696,No
Lake Clark National Park,60.412697,-154.323502,No
Lassen Volcanic National Park,40.4579,-121.4461,No
Mammoth Cave National Park,37.18364,-86.159943,No
Mesa Verde National Park,37.230873,-108.461838,Yes
Mount Rainier National Park,46.879967,-121.726906,No
New River Gorge National Park,37.75913,-80.90582,Yes
North Cascades National Park,48.4004,-121.0219,No
Olympic National Park,47.6948,-123.5455,No
Petrified Forest National Park,34.909988,-109.806793,No
Pinnacles National Park,36.491508,-121.197243,Yes
Redwood National Park,41.213181,-124.004631,No
Rocky Mountain National Park,40.343182,-105.688103,No
Saguaro National Park,32.2432,-111.1309,No
Sequoia National Park,36.5231,-118.552,Yes
Shenandoah National Park,38.700516,-78.292694,Yes
Theodore Roosevelt National Park,47.3352,-103.2491,No
Virgin Islands National Park,18.3435,-64.7501,No
Voyageurs National Park,48.4711,-92.8458,Yes
White Sands National Park,32.77972,-106.171669,No
Wind Cave National Park,43.4348,-102.8731,No
Wrangell-St. Elias National Park,61.710445,-142.985687,No
Yellowstone National Park,44.429764,-110.584663,No
Yosemite National Park,37.865101,-119.53833,Yes
Zion National Park,37.297817,-113.02877,Yes
